DieSize 15 15
NumInstances 100
Inst C1
Inst C2
Inst C3
Inst C4
Inst C5
Inst C6
Inst C7
Inst C8
Inst C9
Inst C10
Inst C11
Inst C12
Inst C13
Inst C14
Inst C15
Inst C16
Inst C17
Inst C18
Inst C19
Inst C20
Inst C21
Inst C22
Inst C23
Inst C24
Inst C25
Inst C26
Inst C27
Inst C28
Inst C29
Inst C30
Inst C31
Inst C32
Inst C33
Inst C34
Inst C35
Inst C36
Inst C37
Inst C38
Inst C39
Inst C40
Inst C41
Inst C42
Inst C43
Inst C44
Inst C45
Inst C46
Inst C47
Inst C48
Inst C49
Inst C50
Inst C51
Inst C52
Inst C53
Inst C54
Inst C55
Inst C56
Inst C57
Inst C58
Inst C59
Inst C60
Inst C61
Inst C62
Inst C63
Inst C64
Inst C65
Inst C66
Inst C67
Inst C68
Inst C69
Inst C70
Inst C71
Inst C72
Inst C73
Inst C74
Inst C75
Inst C76
Inst C77
Inst C78
Inst C79
Inst C80
Inst C81
Inst C82
Inst C83
Inst C84
Inst C85
Inst C86
Inst C87
Inst C88
Inst C89
Inst C90
Inst C91
Inst C92
Inst C93
Inst C94
Inst C95
Inst C96
Inst C97
Inst C98
Inst C99
Inst C100
NumNets 10
Net N1 10
Pin C1
Pin C2
Pin C3
Pin C4
Pin C5
Pin C6
Pin C7
Pin C8
Pin C9
Pin C10
Net N2 10
Pin C11
Pin C12
Pin C13
Pin C14
Pin C15
Pin C16
Pin C17
Pin C18
Pin C19
Pin C20
Net N3 10
Pin C21
Pin C22
Pin C23
Pin C24
Pin C25
Pin C26
Pin C27
Pin C28
Pin C29
Pin C30
Net N4 10
Pin C31
Pin C32
Pin C33
Pin C34
Pin C35
Pin C36
Pin C37
Pin C38
Pin C39
Pin C40
Net N5 10
Pin C41
Pin C42
Pin C43
Pin C44
Pin C45
Pin C46
Pin C47
Pin C48
Pin C49
Pin C50
Net N6 10
Pin C51
Pin C52
Pin C53
Pin C54
Pin C55
Pin C56
Pin C57
Pin C58
Pin C59
Pin C60
Net N7 10
Pin C61
Pin C62
Pin C63
Pin C64
Pin C65
Pin C66
Pin C67
Pin C68
Pin C69
Pin C70
Net N8 10
Pin C71
Pin C72
Pin C73
Pin C74
Pin C75
Pin C76
Pin C77
Pin C78
Pin C79
Pin C80
Net N9 10
Pin C81
Pin C82
Pin C83
Pin C84
Pin C85
Pin C86
Pin C87
Pin C88
Pin C89
Pin C90
Net N10 10
Pin C91
Pin C92
Pin C93
Pin C94
Pin C95
Pin C96
Pin C97
Pin C98
Pin C99
Pin C100
